ratio001,ratio002,ratio003,ratio004,ratio005,ratio006,ratio008,ratio011,ratio012,ratio017,ratio018,ratio019,ratio027,ratio029,ratio030,DIO,DPO,DSO,turnover,status,ratio036,ratio037,ratio039,ratio040
-0.238174079,-0.155185972,-0.124783812,-0.422984408,-0.44199828,-0.281685016,-0.476657019,-3.467955763,-3.405226646,-1.297426442,-1.272000538,-0.534744062,-0.464157481,-0.296392875,-0.301233121,-0.297900904,-0.462927659,-0.722768947,-0.381661792,1,1,1,1,1
-0.758471916,-0.356497211,-0.659059711,-0.076744652,0.260872888,-0.515998038,-1.119889311,1.75463047,0.921838772,4.328932123,4.38273126,-0.469841886,-0.822614995,-0.67234014,-0.643458474,-0.317153963,-0.279493006,-0.198443529,4.591706191,1,1,1,1,1
-0.333616069,-0.207377775,0.508892254,-0.263181444,-0.49691009,-0.276421329,-0.372174006,-0.547247431,-0.088445224,1.102322422,1.119786222,-0.621280297,-0.31456692,-0.254620957,-0.263208082,-0.224097509,-0.268702732,-0.603185957,0.408384059,1,1,1,1,1
-0.44481062,-0.478278084,-1.05666038,0.145203909,-0.255298126,-0.23924654,-0.424367628,-3.467955763,0.064050474,1.449654495,1.509636927,-0.556378121,-0.415336786,-0.547024385,-0.529383356,-0.16633833,-0.398186017,-0.685974181,0.094785937,1,1,1,1,1
-0.479095606,-0.523013915,-1.156060547,-0.902393301,-0.749504417,-0.371167693,-0.400808672,1.75463047,-0.107507186,0.039275776,0.045062656,-0.578012179,-0.420276486,-3.076731758,-2.924960821,-0.320362806,-0.160799994,0.638637403,0.040900381,1,1,1,1,1
-1.368040446,-0.309276057,-0.485109418,-0.334204983,-0.046633248,-0.23858858,3.449548399,-0.118991078,-3.405226646,-0.213329367,-0.397470577,-0.469841886,-0.822614995,-0.254620957,-0.263208082,-0.317153963,2.320962968,-0.79635848,6.10E-06,1,1,1,1,1
-0.118639936,-0.167612592,-0.286309084,-0.964538898,-1.078975277,-0.300765881,-1.119889311,-0.65431152,0.921838772,-0.518560582,-0.492299127,-0.448207827,3.856037681,-0.714112059,-0.681483513,-0.073281875,-0.732684503,-0.685974181,-0.108668752,1,1,1,1,1
-0.891442067,-1.040259533,-0.609359627,-0.565031487,-1.177816535,-0.332019022,-0.272287862,-0.172523122,-0.298126808,-1.276376013,-1.208781504,-3.510725172,-0.321482499,-0.67234014,-0.567408395,-0.320362806,5.485102841,-0.198443529,-0.131375245,1,1,1,1,1
-0.218251722,-0.257084254,-0.162058875,-0.023476997,0.27185525,-0.250431875,-0.138404037,0.469861409,0.369041869,0.460284349,0.477059383,-0.275135358,-0.143488667,0.163098226,0.117042309,-0.297900904,-0.074477804,-0.106456613,-0.163345082,1,0,0,1,0
-0.355391668,-0.291878789,1.105293257,1.148411407,1.787421208,4.06447545,-1.119889311,-3.467955763,0.626378358,-0.055451152,-0.471226116,-0.40493971,3.856037681,-3.076731758,-2.924960821,-0.320362806,0.055005481,0.592643945,-0.187972024,1,0,0,1,0
